LatGridBinSize 2.0
LonGridBinSize 2.0
LAT  LON   EVENT_COUNT  MAX_DEPTH  MIN_DEPTH  AVG_DEPTH  MIN_MAG  MAX_MAG  AVG_MAG
-48 164 31 40.08 2.7 15.87 6.6 4.1 4.87
-48 174 1 11.5 11.5 11.5 4.7 4.7 4.7
-46 -76 1 13.8 13.8 13.8 5.0 5.0 5.0
-46 -74 9 35.0 10.0 18.85 5.3 4.5 4.87
-46 -68 1 10.0 10.0 10.0 4.9 4.9 4.9
-46 -14 2 10.0 10.0 10.0 4.7 4.3 4.5
-46 -12 29 10.0 6.42 9.88 5.8 4.4 4.84
-46 -10 16 10.0 10.0 10.0 5.3 4.2 4.8
-46 -8 1 10.0 10.0 10.0 5.0 5.0 5.0
-46 28 1 10.0 10.0 10.0 4.4 4.4 4.4
-46 30 2 10.0 10.0 10.0 5.1 4.3 4.7
-46 32 29 14.65 9.69 10.15 6.1 4.1 4.65
-46 34 3 10.0 10.0 10.0 6.3 4.8 5.33
-46 36 2 10.0 10.0 10.0 4.9 4.4 4.65
-46 84 3 35.0 10.0 18.33 7.1 4.9 5.67
-46 94 5 10.0 10.0 10.0 5.6 4.4 5.04
-46 96 13 11.42 9.87 10.1 5.6 4.4 4.74
-46 98 15 15.78 1.0 9.79 6.2 4.3 5.05
-46 100 11 15.84 10.0 11.11 5.5 4.3 4.75
-46 102 7 10.0 10.0 10.0 5.0 4.1 4.56
-46 104 2 10.0 10.0 10.0 4.8 4.6 4.7
-46 118 1 10.0 10.0 10.0 4.0 4.0 4.0
-46 120 1 10.0 10.0 10.0 4.2 4.2 4.2
-46 160 1 10.0 10.0 10.0 5.5 5.5 5.5
-46 162 1 10.0 10.0 10.0 4.7 4.7 4.7
-46 164 88 91.0 2.2 20.08 5.9 4.0 4.48
-46 166 25 54.3 5.12 18.31 5.1 3.8 4.32
-46 168 1 12.0 12.0 12.0 4.1 4.1 4.1
-44 -112 1 10.0 10.0 10.0 4.7 4.7 4.7
-44 -106 1 10.0 10.0 10.0 4.8 4.8 4.8
-44 -104 1 10.0 10.0 10.0 4.8 4.8 4.8
-44 -84 1 10.0 10.0 10.0 4.6 4.6 4.6
-44 -82 5 10.0 10.0 10.0 5.2 4.3 4.66
-44 -80 33 16.3 10.0 10.28 6.4 4.0 4.75
-44 -78 13 41.6 10.0 16.81 5.9 4.5 5.02
-44 -76 47 45.8 4.5 12.17 6.1 4.2 4.8
-44 -74 5 34.63 10.0 19.05 5.4 4.3 4.88
-44 -72 6 36.9 4.4 20.78 5.2 4.6 4.9
-44 -16 2 10.0 10.0 10.0 5.6 4.7 5.15
-44 -14 19 15.6 10.0 11.34 5.4 4.4 4.79
-44 -12 6 15.4 10.0 10.9 5.3 4.4 4.8
-44 32 2 10.0 10.0 10.0 4.7 4.6 4.65
-44 34 17 11.1 9.0 10.01 5.4 4.1 4.49
-44 36 20 15.0 10.0 10.69 6.0 4.1 4.71
-44 38 45 16.45 10.0 10.46 5.2 4.2 4.59
